User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
mjguariglia,Atlanta Ransomeware-FBI,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/atlanta-ransomeware-fbi-74170/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Any files related to the 	SamSam Ransomeware cyberattack against the city of Atlanta in March 2018 as well as the two indicted hackers Faramarz Shahi Savandi and Mohammad Mehdi Shah Mansouri.,1437960-000,FALSE,750,722,,,0.00,2019-05-28 03:00:03.323427+00:00,2019-06-24,2019-06-25 04:56:00+00:00,atlanta-ransomeware-fbi-74170
morisy,Atomic Energy Commission Liasion Documentation,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/atomic-energy-commission-liasion-documentation-6261/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,A copy of the file covering liaison with and correspondence with the Atomic Energy Commission.,1219933-000,FALSE,2893,2882,,,0.00,2013-07-15 04:00:00+00:00,2013-08-12,2013-07-26 00:00:00+00:00,atomic-energy-commission-liasion-documentation-6261
jasonsmathers,ATT Bill for surveillance since 1/1/11  (FBI),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/att-bill-for-surveillance-since-1111-fbi-700/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,1169787-000,FALSE,3625,3415,,,0.00,2011-07-14 04:00:00+00:00,2011-08-11,2011-07-20 00:00:00+00:00,att-bill-for-surveillance-since-1111-fbi-700
vale,Attempted Assassination of John Gunther Dean,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/attempted-assassination-of-john-gunther-dean-71396/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to, mentioning, or generated as a result of the August 28, 1980 terrorist attack on John Gunther Dean, then serving as US Ambassador to Lebanon. Responsibility for the attack was claimed Front for the Liberation of Lebanon from Foreigners.

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies. If any potentially responsive records have been destroyed and/or transferred to NARA, then I request copies of the destruction or transfer slips as well as any other documentation relating to, mentioning or describing said transfer or destruction, to include but not be limited to confirmation that the Bureau has no other copies of said records. If previously released records are available, then I request a rolling release consisting of those records while additional records are located and processed for release.","1433496-000, DOJ-AP-2020-000354",FALSE,805,40,,,0.00,2019-04-03 17:50:49.785931+00:00,2019-05-01,2021-05-07 12:04:09.908263+00:00,attempted-assassination-of-john-gunther-dean-71396
BenWinslow,Audio and/or video of shooting of Siale Angilau in U.S. District Court (FBI),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/audio-andor-video-of-shooting-of-siale-angilau-in-us-district-court-11375/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Audio and/or video recordings of the shooting of Siale Angilau in Judge Tena Campbell's courtroom inside the U.S. District Courthouse on April 21, 2014.","1260907-000, AP-2014-03016",FALSE,2612,2536,,,0.00,2014-04-22 04:00:00+00:00,2014-05-20,2014-07-07 00:00:00+00:00,audio-andor-video-of-shooting-of-siale-angilau-in-us-district-court-11375
aete2the,BAETravler-FBI-FTW,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/baetravler-fbi-ftw-25654/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The quantity, serial number(s), Purchase Orders, activity logs, equipment check-out/check-ins, and other responsive records associated with each ""BAE Systems Traveler"" cell site simulator device in use, or purchased by the Bureau, or operated on its behalf. See https://theintercept.com/document/2015/12/16/government-cellphone-surveillance-catalogue/ for a visual depiction of the device in question to assist search efforts.

Note also such publication and dissemination of technical details regarding this equipment diminishes claims of sensitivity which may otherwise be grounds for redaction or withholding of responsive materials.

Please include the Experimental FCC License exception number for each associated piece of equipment along with serial number and purchase order(s).

Recognize that Truitt v. Department of State, 897 F.2d 540, 542 (D.C. Cir. 1990) makes it explicitly clear that it is the obligation of an agency to “conduct a search reasonably calculated to uncover all relevant documents.” Records spanning other intelligence agency activities in which this agency played a part are explicitly requested to be considered and searched, as appropriate, including activities under authority of E.O. 12333, Section 215 of the USA PATRIOT Act , and Section 702 Section 702 of the FISA Amendments Act , and any other related authorities. Thank you!",1351041-000,FALSE,1862,1783,,,0.00,2016-05-11 04:00:00+00:00,2016-06-09,2016-07-29 00:00:00+00:00,baetravler-fbi-ftw-25654
EmmaBest,Bank of Credit and Commerce International (B.C.C.I.),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bank-of-credit-and-commerce-international-bcci-23316/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to the  Bank of Credit and Commerce International (B.C.C.I.), an international bank founded in 1972 by Agha Hasan Abedi. The bank was involved in massive money laundering and other financial crimes, and illegally gained the controlling interest in a major American bank. The bank is also known for its connections to foreign intelligence communities as well as CIA, as described by http://fas.org/irp/congress/1992_rpt/bcci/11intel.htm .",DOJ-AP-2016- 003050; DOJ-AP-2016-002148 ; 1342697-000,FALSE,1987,1765,"Iran-Contra, October Surprise and Reagan's Wrongs",,0.00,2016-01-07 05:00:00+00:00,2016-02-17,2016-08-16 00:00:00+00:00,bank-of-credit-and-commerce-international-bcci-23316
lesliemsharp,Bardwell DeWitt Odum,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bardwell-dewitt-odum-44823/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Bardwell Dewitt Odum served 26 years with the Federal Bureau of Investigation and in 1963 he was based in Dallas, Texas.",1387605-000,FALSE,1336,1328,,,0.00,2017-10-19 04:00:00+00:00,2017-11-17,2017-10-27 00:00:00+00:00,bardwell-dewitt-odum-44823
EmmaBest,Benjamin Ben-Eliezer,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/benjamin-ben-eliezer-27972/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Files relating to or mentioning Benjamin Ben-Eliezer, also spelled Binyamin Fuad Ben-Eliezer (Hebrew: בנימין פואד בן אליעזר; 12 February 1936 – 28 August 2016). His death has been widely reported. http://www.nytimes.com/2016/08/29/world/middleeast/benjamin-ben-eliezer-former-israeli-defense-minister-dies-at-80.html

 Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records.

I am a member of the news media and request classification as such. I have previously written about the Bureau for AND Magazine, MuckRock and Glomar Disclosure.",1357115-000,FALSE,1751,72,,,0.00,2016-08-30 04:00:00+00:00,2016-09-28,2021-04-05 04:56:00+00:00,benjamin-ben-eliezer-27972
MatthewWillner,Benjamin Willner,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/benjamin-willner-69916/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"All FBI files and records for Benjamin Willner, born in The Bronx New York. Date of death, January 12 2012.",1430181-000,FALSE,841,833,,,0.00,2019-02-26 02:42:56.836170+00:00,2019-03-25,2019-03-06 04:56:00+00:00,benjamin-willner-69916
EmmaBest,Berico Technologies,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/berico-technologies-74191/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Records relating to Berico Technologies.,1439561-000,FALSE,750,680,,,0.00,2019-05-28 03:32:18.663769+00:00,2019-06-24,2019-08-06 20:35:46.981964+00:00,berico-technologies-74191
EmmaBest,Bernardo Álvarez,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bernardo-alvarez-30302/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Bernardo Álvarez, who was Hugo Chávez’s Envoy in Washington. His death has been widely reported. http://www.nytimes.com/2016/11/25/world/americas/bernardo-alvarez-herrera-dead.html

Please conduct a search of the Central Records System, including but not limited to the Electronic Surveillance (ELSUR) Indices, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, agencies, organizations and companies including but not limited to those cited in the obituary cited.

I am a member of the news media and request classification as such. I have previously written about the Bureau for AND Magazine, MuckRock and Glomar Disclosure. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. The requested documents will be made available to the general public, and this request is not being made for commercial purposes.",1362950-000,FALSE,1663,1505,,,0.00,2016-11-26 05:00:00+00:00,2016-12-23,2017-05-03 00:00:00+00:00,bernardo-alvarez-30302
foiathedead,"Bibi Ferreira, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bibi-ferreira-fbi-file-69134/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bibi Ferreira, an obituary of whom was published in The New York Times on February 19, 2019 under the headline ""Bibi Ferreira, Grande Dame of Brazilian Stage, Dies at 96"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/19/obituaries/bibi-ferreira-dies.html.",1429663-000,FALSE,848,839,,,0.00,2019-02-19 21:34:20.833382+00:00,2019-03-19,2019-02-28 12:43:53.376171+00:00,bibi-ferreira-fbi-file-69134
aete2the,BicycleFeds,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bicyclefeds-18518/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The number of applicants to the Federal Bureau of Investigation of the United States of America rejected because of past use of LSD (lysergic acid diethylamide) by year, since 1960.",1330578-000,FALSE,2199,2100,,,0.00,2015-06-09 04:00:00+00:00,2015-07-08,2015-09-16 00:00:00+00:00,bicyclefeds-18518
foiathedead,"Bill Jenkins, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bill-jenkins-fbi-file-69999/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bill Jenkins, an obituary of whom was published in The New York Times on February 25, 2019 under the headline ""Bill Jenkins, Who Tried to Halt Tuskegee Syphilis Study, Dies at 73"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/25/obituaries/bill-jenkins-dead.html.",1429987-000,FALSE,841,834,,,0.00,2019-02-26 20:59:04.384770+00:00,2019-03-26,2019-03-05 13:01:56.442691+00:00,bill-jenkins-fbi-file-69999
foiathedead,"Bisi Silva, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bisi-silva-fbi-file-70001/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bisi Silva, an obituary of whom was published in The New York Times on February 25, 2019 under the headline ""Bisi Silva, 56, Bold Curator of Contemporary African Art, Dies"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/25/obituaries/bisi-silva-dead.html.",1429990-000,FALSE,841,831,,,0.00,2019-02-26 20:59:10.210304+00:00,2019-03-26,2019-03-08 13:06:20.500590+00:00,bisi-silva-fbi-file-70001
bex,Black Lives Matter Protests (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/black-lives-matter-protests-federal-bureau-of-investigation-94178/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Case files pertaining to Black Lives Matter protests in the United States in May and June 2020. These documents may contain references to Black Lives Matter, protest(s), looting or looters, riot(s), and police. I am also interested in written records and/or copies communications, including but not limited to emails and text messages, from agents on the ground in Minneapolis, St. Louis, Atlanta, Los Angeles, Miami, Washington DC, Boston, Philadelphia, and New York City.

As a contributing writer for National Geographic, I request all fees for this request to be waived.",1466805-000,FALSE,379,352,,,0.00,2020-06-02 18:11:18.139969+00:00,2020-06-30,2020-06-29 14:11:08.604047+00:00,black-lives-matter-protests-federal-bureau-of-investigation-94178
EmmaBest,BlueLeaks (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/blueleaks-federal-bureau-of-investigation-96878/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"1. Documents mentioning, describing or generated in response to the BlueLeaks release, the preceding hack or subsequent fallout, including but not limited to:

* Damage assessments
* Emails
* Interagency communications (local, state, or federal)
* Communications with the press about BlueLeaks
* Communications with Twitter or other social media or sharing platforms

2. Documents mentioning or describing Distributed Denial of Secrets (DDoSecrets)

You may limit this request to records generated between November 1, 2018 and the present.

I am a member of the news media and request classification as such. I have previously written about the government and its activities, with some reaching over 100,000 readers in outlets such as Gizmodo, MuckRock, Motherboard, Property of the People, Unicorn Riot, and The Outline, among others. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through non-profits such as the library Internet Archive and the journalist non-profit MuckRock, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance.

As my primary purpose is to inform about government activities by reporting on it and making the raw data available, I request that fees be waived.",AP20195264,FALSE,356,92,Hacking History,"blueleaks,ddosecrets,distributed denial of secrets,hacks,leaks",0.00,2020-06-25 17:47:24.140784+00:00,2020-07-24,,blueleaks-federal-bureau-of-investigation-96878
EmmaBest,Bob Kuechenberg,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bob-kuechenberg-67777/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Files mentioning Bob Kuechenberg.,1427266-000,FALSE,878,838,,,0.00,2019-01-20 12:01:59.302075+00:00,2019-02-19,2019-03-01 15:52:24.605118+00:00,bob-kuechenberg-67777
Dr.CadeJameson,Bob Marshall,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bob-marshall-77668/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all memos, files, records, and other materials describing, mentioning or relating to Robert ""Bob"" Marshall (1901-1939), who was an official of United States Forest Service and Bureau of Indian Affairs, an author, and prominent advocate for the causes of wilderness and civil liberties.

I request to have the fees associated with this request waived. The materials desired are for academic research (I am a PhD). The individual I am requesting information on was a prominent historical figure and government official and information about his activities are in the public interest. The information revealed from this request will be disseminated in scholarly journals and made freely available to other scholars.",1442608-000,FALSE,699,688,,,0.00,2019-07-18 19:56:50.494234+00:00,2019-08-15,2019-07-29 13:32:40.639756+00:00,bob-marshall-77668
ShawnMusgrave,Boston JTTF assessment of Tamerlan Tsarnaev,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/boston-jttf-assessment-of-tamerlan-tsarnaev-11237/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The assessment of Tamerlan Tsarnaev 

Per the joint Inspector General review:

The Boston JTTF subsequently conducted an assessment of Tamerlan Tsarnaev to determine whether he posed a threat to national security. 

The FBI closed the assessment on June 24, 2011, having found no link or nexus between Tamerlan Tsarnaev and terrorism.",1260476-000,FALSE,2624,2612,,,0.00,2014-04-10 04:00:00+00:00,2014-05-08,2014-04-22 00:00:00+00:00,boston-jttf-assessment-of-tamerlan-tsarnaev-11237
TransparentByDefault,Boston Marathon Bombing Surveillance Footage [FBI],Rejected,https://www.muckrock.com/foi/united-states-of-america-10/boston-marathon-bombing-surveillance-footage-fbi-4998/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"To Whom It May Concern:

This is a request under the Freedom of Information Act.  I hereby request the following records:

All surveillance and citizen-produced video or photo evidence used to identify the Tsarnaev brothers in the 2013 Boston Marathon bombing. Specifically, please include the footage of Djockhar Tsarnaev deliberately planting his bag and moving away from it, as described by Governor Deval Patrick on ""Meet the Press"". Please provide these documents in digital format if possible.

I also request that, if appropriate, fees be waived as I believe this request is in the public interest. The requested documents will be made available to the general public free of charge as part of the public information service at MuckRock.com, processed by a representative of the news media/press and is made in the process of news gathering and not for commercial usage.

In the event that fees cannot be waived, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires.

Sincerely,

Rich Jones",,FALSE,2930,2921,,,0.00,2013-06-08 04:00:00+00:00,,2013-06-17 00:00:00+00:00,boston-marathon-bombing-surveillance-footage-fbi-4998
wmf6267,Bounce the payroll,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bounce-the-payroll-82813/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Pursuant to FFATA and DATA acts for transparency in utilization of government resources 

Please produce the aggregate number of payroll transmissions and the  the payment sum sent into the Rhode Island Short Term Disability fund (SDI) for the following months: 

November 2018
December 2018
January 2019
February 2019
March 2019
April 2019
May 2019



Note for search analyst. You can produce the aggregate sum in the event you transmit as lump sum in lieu of individual contributions. As 1 or 2 isnt really educational.",NFP-114856,FALSE,592,54,,,0.00,2019-11-02 18:21:41.040566+00:00,2019-12-03,2021-04-23 18:00:18.015589+00:00,bounce-the-payroll-82813
foiathedead,"Bracha Graber, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bracha-graber-fbi-file-40252/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bracha Graber, an obituary of whom was published in The New York Times on July 19, 2017 under the headline ""Bracha Graber, Who Spurred Changes in New York Foster Care, Dies at 68"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2017/07/18/nyregion/bracha-graber-dead-whistle-blower-in-foster-care-fraud-case.html.",1394700-000,FALSE,1428,412,,,0.00,2017-07-19 04:00:00+00:00,,2018-08-01 04:56:00+00:00,bracha-graber-fbi-file-40252
foiathedead,"Bre Payton, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bre-payton-fbi-file-66821/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bre Payton, an obituary of whom was published in The New York Times on December 30, 2018 under the headline ""Bre Payton, Conservative Writer and Fox News Commentator, Dies at 26"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2018/12/30/obituaries/bre-payton-dead.html.",1426012-000,FALSE,896,881,,,0.00,2019-01-02 20:08:16.016865+00:00,2019-01-31,2019-01-17 11:56:10.928474+00:00,bre-payton-fbi-file-66821
foiathedead,"Brian Garfield, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/brian-garfield-fbi-file-67071/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Brian Garfield, an obituary of whom was published in The New York Times on January 6, 2019 under the headline ""Brian Garfield, Prolific Author of ‘Death Wish,’ Dies at 79"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/01/06/obituaries/brian-garfield-dies-at-79.html.",1425994-000,FALSE,891,876,,,0.00,2019-01-07 19:01:55.028798+00:00,2019-02-05,2019-01-22 12:18:31.394974+00:00,brian-garfield-fbi-file-67071
foiathedead,"Brody Stevens, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/brody-stevens-fbi-file-69998/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Brody Stevens, an obituary of whom was published in The New York Times on February 26, 2019 under the headline ""Brody Stevens, Comic Who Explored His Darker Side, Dies at 48"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/26/obituaries/brody-stevens-dead.html.",1429974-000,FALSE,841,831,,,0.00,2019-02-26 20:59:00.980899+00:00,2019-03-26,2019-03-08 13:06:38.198327+00:00,brody-stevens-fbi-file-69998
EmmaBest,Brokers of Death arms case,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/brokers-of-death-arms-case-24510/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Records relating to the United States v. Samuel Evans et al case and any associated investigations. The case is commonly known as the 'Brokers of Death' arms case. A brief overview of the case is available at https://en.wikipedia.org/wiki/Brokers_of_Death_arms_case,1347146-000,FALSE,1917,1629,"Iran-Contra, October Surprise and Reagan's Wrongs",,0.00,2016-03-17 04:00:00+00:00,2016-04-14,2016-12-30 00:00:00+00:00,brokers-of-death-arms-case-24510
foiathedead,"Bruno Ganz, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bruno-ganz-fbi-file-69143/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Bruno Ganz, an obituary of whom was published in The New York Times on February 16, 2019 under the headline ""Bruno Ganz, Who Played an Angel and Hitler, Is Dead at 77"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/16/obituaries/bruno-ganz-dead.html.",1429503-000,FALSE,848,838,,,0.00,2019-02-19 21:34:56.650092+00:00,2019-03-19,2019-03-01 19:52:14.933785+00:00,bruno-ganz-fbi-file-69143
EmmaBest,Bureau 121 (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bureau-121-federal-bureau-of-investigation-73094/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-09-23,,"Records, emails, memos and reports relating to or mentioning Bureau 121, a North Korean cyberwarfare agency, which is part of the Reconnaissance General Bureau of North Korea's military.",1437365-000,FALSE,764,722,Hacking History,,0.00,2019-05-14 14:42:31.900798+00:00,2019-06-12,,bureau-121-federal-bureau-of-investigation-73094
EmmaBest,Bureau of Indian Affairs building takeover,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bureau-of-indian-affairs-building-takeover-67007/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Files mentioning or generated as a result of the Bureau of Indian Affairs building takeover, a protest by Native Americans at the Department of Interior headquarters in the national capital of Washington, DC from November 3 to November 9, 1972. On November 3, a group of around 500 American Indians with the American Indian Movement (AIM) took over the Interior building in Washington, D.C.. A group of protesters went to Bureau of Indian Affairs offices at the national headquarters building, intending to negotiate for better housing on reservations and other issues. Protesters began the siege after interpreting a government refusal of their demands as a doublecross. Protesters began to vandalize the building in protest. They were not evicted on the first night. The takeover quickly gained national media attention.

Protesters overturned tables and desks against the windows, fortifying against potential police attack. Some set fires in interior offices and the marble lobbies, destroying many historic documents. The demonstrators started to run out of provisions after several days. They would not allow police or any government representative to approach the building, so two children of BIA employees were recruited to bring in provisions. After a week, the protesters left, some taking documents with them, having caused an estimated $700,000 in damages. Their actions caused loss, destruction, and theft of many records, including important treaties, deeds, and water rights records.",1426370-000,FALSE,892,834,,,0.00,2019-01-06 15:51:57.261516+00:00,,,bureau-of-indian-affairs-building-takeover-67007
aete2the,BureauZoned,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/bureauzoned-26847/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The Zone Transfer (AXFR Resource Record(s)) for the "".fbi"" top level domain. If there are multiple zones for subdomains under the "".fbi"" domain, please provide the aggregate of all Zone Transfer (AXFR) records for all domains. An AXFR export in SQL export, JSON dump, UDP AXFR RR sequence, or TCP AXFR payload, would all be acceptable formats for response of this request.

Note prior FOIA case law that establishes the extent to which agencies MUST search all records system reasonably believed to contain responsive documents, even if it means contacting former employees. Truitt v. Department of State, 897 F.2d 540, 542 (D.C. Cir. 1990) makes it explicitly clear that it is the obligation of the Department to “conduct a search reasonably calculated to uncover all relevant documents.” The Justice Department’s May 2004 FOIA Guide says that an agency “cannot limit its search to only one record system if there are others that are likely to turn up the information requested.” Rather, the obligation of the Department to search other sources likely to contain responsive records includes contacting former employees where necessary. [See, e.g.,Comer v. IRS, No. 97-76329, 2001 U.S. Dist. LEXIS 16996 (E.D. Mich. Sept. 25, 2001) which found an agency search inadequate when the agency made no attempt to contact a former employee familiar with the information sought.]

Please provide a count of any records or documents withheld for any reason. Thank you!",1354682-000,FALSE,1799,1786,,,0.00,2016-07-13 04:00:00+00:00,2016-08-10,2016-07-26 00:00:00+00:00,bureauzoned-26847
TransparentByDefault,BuzzFeed Russian Hooker Piss Trump Dossier [FBI],Rejected,https://www.muckrock.com/foi/united-states-of-america-10/buzzfeed-russian-hooker-piss-trump-dossier-fbi-31885/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all documents, presentations, communications and memorandums related to the alleged intelligence dossier published by BuzzFeed News in an article entitled ""These Reports Allege Trump Has Deep Ties To Russia"" at the URL ""https://www.buzzfeed.com/kenbensinger/these-reports-allege-trump-has-deep-ties-to-russia"", originally posted on Jan. 10, 2017, at 6:20 p.m.",1365690-000,FALSE,1616,1540,FOIA the Trump Administration,,0.00,2017-01-12 05:00:00+00:00,2017-02-10,2017-03-29 00:00:00+00:00,buzzfeed-russian-hooker-piss-trump-dossier-fbi-31885
atomdeer,Callservice.biz,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/callservicebiz-54372/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,All documents pertaining to the investigation into the website Callservice.biz and resulting arrests (described here: https://archives.fbi.gov/archives/newyork/press-releases/2011/belarusian-proprietor-of-international-identity-theft-website-pleads-guilty-in-manhattan-federal-court).,1406390-000,FALSE,1122,1079,,,0.00,2018-05-21 20:21:18.046789+00:00,2018-06-19,2018-07-03 12:15:54.866076+00:00,callservicebiz-54372
EmmaBest,Camille Billops,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/camille-billops-75284/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Records mentioning or describing Camille Billops.,1439862-000,FALSE,736,679,,,0.00,2019-06-11 19:02:28.042569+00:00,2019-07-10,2019-08-07 20:36:00.050284+00:00,camille-billops-75284
EmmaBest,Captured Japanese Documents,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/captured-japanese-documents-23331/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Captured Japanese Documents, including casefile #5198.",DOJ-AP-2016-000364 ; NFP-52775,FALSE,1983,1862,,,0.00,2016-01-11 05:00:00+00:00,2016-04-14,,captured-japanese-documents-23331
aete2the,Carman2-FBI-FTW,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/carman2-fbi-ftw-25651/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The quantity, serial number(s), Purchase Orders, activity logs, equipment check-out/check-ins, and other responsive records associated with each ""Key West Carman II"" cell site simulator device in use, or purchased by the Bureau, or operated on its behalf. See https://theintercept.com/document/2015/12/16/government-cellphone-surveillance-catalogue/ for a visual depiction of the device in question to assist search efforts. 

Note also such publication and dissemination of technical details regarding this equipment diminishes claims of sensitivity which may otherwise be grounds for redaction or withholding of responsive materials.

Please include the Experimental FCC License exception number for each associated piece of equipment along with serial number and purchase order(s).

Recognize that Truitt v. Department of State, 897 F.2d 540, 542 (D.C. Cir. 1990) makes it explicitly clear that it is the obligation of an agency to “conduct a search reasonably calculated to uncover all relevant documents.” Records spanning other intelligence agency activities in which this agency played a part are explicitly requested to be considered and searched, as appropriate, including activities under authority of E.O. 12333, Section 215  of the USA PATRIOT Act , and Section 702 Section 702 of the FISA Amendments Act , and any other related authorities. Thank you!",1351050-000,FALSE,1862,1780,,,0.00,2016-05-11 04:00:00+00:00,2016-06-09,2016-07-29 00:00:00+00:00,carman2-fbi-ftw-25651
